id,name,income,loanAmount,creditScore,monthsEmployed,numCreditLines,totalCreditLimit,totalBalance,pastDuePayments,educationLevel,employmentStatus,maritalStatus,gender,age_group,ethnicity,riskProbability,decision
LP-10022,User 22,51350.564093758476,28377.36378143325,821,137,10,42417.93084931262,0.0,2,Master,Unemployed,Married,Female,26-40,Group B,0.08373043830161032,Reject
LP-10023,User 23,21505.036275730865,1000.0,761,108,11,16628.13056882078,18404.24882680606,0,PhD,Self-Employed,Divorced,Male,18-25,Group D,0.11152424979320975,Reject
LP-10024,User 24,39112.34550949634,25091.98813042604,724,92,4,29577.931913908607,6780.316795824738,7,Bachelor,Employed,Married,Male,41-60,Group C,0.05434448770425618,Reject
LP-10025,User 25,52218.451794197324,10128.408108251522,844,88,8,1000.0,10786.07674380273,8,High School,Unemployed,Married,Male,18-25,Group A,0.1418307041607521,Reject
LP-10026,User 26,26980.128451553945,14383.567452619069,680,247,3,28656.94906962717,22190.88764907041,5,Bachelor,Unemployed,Single,Male,26-40,Group D,0.07169053762611559,Reject
LP-10027,User 27,57513.96036691344,15057.79577741475,651,178,10,47084.08553322633,8469.601922332346,7,PhD,Employed,Married,Male,26-40,Group D,0.15964079525251565,Reject
LP-10028,User 28,37987.2262016239,14895.983594641935,517,179,5,1000.0,10973.827441532108,0,PhD,Unemployed,Divorced,Female,60+,Group B,0.031839519320312724,Reject
LP-10029,User 29,44166.12500413446,1000.0,651,279,7,1000.0,13706.109975718062,7,High School,Self-Employed,Divorced,Male,26-40,Group D,0.2904597011722603,Reject
LP-10030,User 30,37965.867755412066,22158.410073213174,561,112,14,42642.80056185478,748.1691770304478,4,Master,Self-Employed,Divorced,Male,41-60,Group A,0.03161502816207883,Reject
LP-10031,User 31,87045.56369017877,23345.20758949563,631,236,10,23831.72362473018,0.0,9,Bachelor,Employed,Married,Female,41-60,Group C,0.14197763937455876,Reject
LP-10032,User 32,49730.05550524132,24566.773136244155,489,458,12,39892.55730814843,6878.13786256141,9,PhD,Unemployed,Married,Male,26-40,Group C,0.06723848497235876,Reject
LP-10033,User 33,28845.781420881995,19874.761203463542,509,478,3,54015.88238904196,1093.3272533988638,2,High School,Employed,Divorced,Male,18-25,Group B,0.01299994429193865,Reject
LP-10034,User 34,66450.89824206378,12928.791926185719,450,138,4,20001.931974432322,18868.931033581146,7,High School,Self-Employed,Single,Male,26-40,Group C,0.08462323199674623,Reject
LP-10035,User 35,25583.127000579556,1000.0,427,397,4,37355.43811253079,12412.971971784387,0,Bachelor,Self-Employed,Married,Female,41-60,Group D,0.0777174248219404,Reject
LP-10036,User 36,54177.27190009511,19485.349944412657,746,204,8,17436.83120575662,16034.707087630371,1,PhD,Employed,Single,Male,60+,Group A,0.183432644411093,Reject
LP-10037,User 37,15000.0,15385.409534848106,747,320,2,15807.38610900356,11089.649005686531,4,Master,Self-Employed,Divorced,Male,41-60,Group B,0.02377354622050238,Reject
LP-10038,User 38,23436.27902203139,14975.492168801507,625,240,8,43406.98973307088,10541.539407142653,6,Master,Employed,Married,Female,60+,Group C,0.0242556498258257,Reject
LP-10039,User 39,53937.22471738247,19406.554779585094,663,75,11,45670.76963493315,16226.42405870656,2,High School,Self-Employed,Divorced,Female,60+,Group C,0.06562629356687001,Reject
LP-10040,User 40,64769.33159990821,14548.880005478914,547,257,10,21335.23428057843,8982.279582179703,6,High School,Self-Employed,Single,Male,41-60,Group B,0.14342717833724467,Reject
LP-10041,User 41,53427.36562379941,10559.818027009273,419,39,8,23088.867650621065,12395.933576299096,8,PhD,Employed,Married,Male,18-25,Group C,0.01986363090373082,Reject
LP-10042,User 42,47687.03435223519,3200.286234231842,770,398,13,12422.87193426496,5227.352054429712,3,PhD,Self-Employed,Single,Female,26-40,Group A,0.337067470930464,Reject
LP-10043,User 43,43977.926088214226,14941.45714191749,306,396,9,44612.94220830658,18283.842355175755,9,PhD,Self-Employed,Married,Male,26-40,Group B,0.03818013101949604,Reject
LP-10044,User 44,20429.560192651454,29733.690072318044,667,63,1,48342.82126939087,21914.15473785705,4,Master,Employed,Divorced,Other,26-40,Group C,0.0028686345536654326,Reject
LP-10045,User 45,35603.115832105825,3973.5507671846917,756,26,3,48459.937354039925,5612.129296042588,0,Master,Unemployed,Divorced,Male,26-40,Group A,0.21487788711083872,Reject
LP-10046,User 46,40787.22458080425,25031.292522048814,658,431,11,10029.695889664828,1115.350516308763,1,High School,Self-Employed,Single,Male,18-25,Group B,0.03365761880018489,Reject
LP-10047,User 47,71142.44452437831,22145.256121867118,694,349,2,50273.55087456714,13013.920079932224,1,Master,Employed,Single,Female,41-60,Group B,0.16978292447786197,Reject
LP-10048,User 48,56872.36579136923,1000.0,812,397,4,44293.24641289226,14904.013897960438,3,Master,Employed,Divorced,Male,41-60,Group C,0.5690505561603655,Approve
LP-10049,User 49,15000.0,21085.204367444727,331,263,4,23008.855060680733,542.4277735989635,4,Bachelor,Employed,Divorced,Female,18-25,Group A,0.00021785191311389813,Reject
LP-10050,User 50,56481.6793878959,15181.322269052176,842,91,2,24005.717245793516,12562.225664628859,9,Bachelor,Self-Employed,Divorced,Female,60+,Group D,0.18593653156710271,Reject
LP-10051,User 51,42298.35439167367,14165.476538325083,790,434,1,35325.32086945382,22149.52895758796,4,High School,Unemployed,Married,Male,18-25,Group C,0.13293094564351718,Reject
LP-10052,User 52,36461.55999388083,34962.14524294714,374,139,7,36726.51944844167,16397.191722708,1,PhD,Employed,Divorced,Male,26-40,Group C,0.004543478897667669,Reject
LP-10053,User 53,62233.52577681736,24413.227767645905,475,201,9,30730.511728087873,4149.92344845033,1,Bachelor,Unemployed,Divorced,Other,41-60,Group D,0.05863461593667566,Reject
LP-10054,User 54,70619.99044991902,5718.7497666936615,417,311,10,27694.11881289356,25261.858951629576,8,Master,Self-Employed,Single,Female,26-40,Group C,0.09235377641890048,Reject
LP-10055,User 55,68625.60238232397,21397.367402290973,549,269,13,42598.40187604735,6561.760263894047,8,PhD,Self-Employed,Single,Female,41-60,Group C,0.07813630883101237,Reject
LP-10056,User 56,33215.64953554723,5831.549954609563,582,387,6,37453.019210556886,1816.6198840980333,6,Master,Employed,Divorced,Male,41-60,Group D,0.17036570112350913,Reject
LP-10057,User 57,43815.75248297571,6252.524359511985,759,141,6,47996.986834550255,978.2437191200879,4,Bachelor,Self-Employed,Single,Male,18-25,Group D,0.11539324419321355,Reject
LP-10058,User 58,56625.26862807128,16604.06389642159,380,324,6,57797.74118949949,7171.43548019614,5,Bachelor,Unemployed,Divorced,Female,18-25,Group D,0.014245829397864868,Reject
LP-10059,User 59,69510.90254244718,26737.17396445303,323,62,8,34781.909928348716,20386.4962984443,4,Master,Employed,Divorced,Male,18-25,Group C,0.009279322479859893,Reject
LP-10060,User 60,40416.5152430942,1000.0,628,119,5,45824.65572770239,8554.07321993256,8,PhD,Unemployed,Single,Male,26-40,Group B,0.20004420304389464,Reject
LP-10061,User 61,46286.82046672366,9962.106348437435,427,414,10,29275.0482910736,28463.892378554916,7,Bachelor,Employed,Divorced,Female,26-40,Group B,0.061900774440392964,Reject
LP-10062,User 62,27873.300519879434,26758.34061636633,831,190,10,35502.557367990914,15606.81606696812,5,Master,Employed,Married,Female,18-25,Group B,0.008670712204939776,Reject
LP-10063,User 63,26075.867518386585,5591.696890575247,581,74,8,28366.0338181521,11202.790075329733,5,Bachelor,Self-Employed,Single,Male,26-40,Group D,0.08001642582228809,Reject
LP-10064,User 64,66250.51644788396,15314.01642293764,788,434,12,36280.1195171575,2913.175993777828,0,PhD,Self-Employed,Married,Female,26-40,Group D,0.3130171535022022,Reject
LP-10065,User 65,77124.80057141646,11893.406762610759,379,315,1,21280.712716121936,24201.32584413619,8,Bachelor,Employed,Single,Female,26-40,Group C,0.06930899428795859,Reject
LP-10066,User 66,48559.797568393325,27765.37338471191,374,190,7,46390.09256591453,8481.164751044944,8,Master,Employed,Single,Male,26-40,Group D,0.018400961901997442,Reject
LP-10067,User 67,70070.65795784048,18188.444091892274,337,153,4,59269.377161934426,16784.558570089826,2,High School,Self-Employed,Single,Male,26-40,Group B,0.04594665838748692,Reject
LP-10068,User 68,57232.72050095268,12012.82525802986,525,320,12,30951.612413497984,6376.008874764817,2,Bachelor,Employed,Divorced,Male,26-40,Group A,0.1411664388273002,Reject
LP-10069,User 69,37097.60490789751,6633.982911476822,402,189,3,45179.48517602158,7904.573323065573,6,PhD,Employed,Divorced,Male,26-40,Group C,0.057012131698062754,Reject
LP-10070,User 70,57227.912110168276,36050.715766446374,610,171,10,32888.13453358322,10416.833213322394,6,Bachelor,Self-Employed,Divorced,Female,41-60,Group C,0.029994828253476113,Reject
LP-10071,User 71,80760.73132931939,14242.412222706362,787,263,7,11515.745632737442,8387.790498297718,4,High School,Employed,Married,Male,41-60,Group D,0.4234846490133805,Approve
LP-10072,User 72,49283.47921780097,12737.11817355862,603,406,3,24858.775023233335,13084.836283349556,5,High School,Unemployed,Married,Female,18-25,Group C,0.04740528303397715,Reject
LP-10073,User 73,81292.87311628013,19993.628950421233,550,315,8,11808.49289368129,0.0,6,Master,Unemployed,Single,Male,26-40,Group B,0.17978022434477667,Reject
LP-10074,User 74,15000.0,22188.66525841731,674,169,10,59952.15909652885,2290.189465426931,2,Bachelor,Self-Employed,Married,Female,26-40,Group A,0.001957974211073238,Reject
LP-10075,User 75,66438.05008750448,1000.0,778,258,9,30912.408924672298,9370.503984934085,3,Bachelor,Unemployed,Married,Female,26-40,Group D,0.3660449818473648,Reject
LP-10076,User 76,51740.94136476342,13099.987093913887,751,318,9,34139.62654085649,2800.716183373739,0,Master,Self-Employed,Divorced,Female,18-25,Group C,0.08002233900705753,Reject
LP-10077,User 77,44019.85299068265,4276.587789721225,347,38,6,20716.07307236438,7423.101908670959,9,Bachelor,Employed,Divorced,Female,41-60,Group C,0.027892516615648125,Reject
LP-10078,User 78,51835.21553071005,9354.57714401706,788,348,8,27946.100226077564,10660.616110175544,9,High School,Unemployed,Divorced,Female,18-25,Group A,0.12066530748054632,Reject
LP-10079,User 79,15000.0,27734.899847013974,412,22,6,34084.488869788045,13646.654627907279,1,Master,Employed,Single,Male,18-25,Group C,8.41922820960595e-05,Reject
LP-10080,User 80,45606.56224324976,26534.225557920698,754,46,5,21656.509921684526,8449.80222664541,0,Bachelor,Employed,Single,Male,41-60,Group A,0.07215325480045924,Reject
LP-10081,User 81,57142.25143023493,20888.101590285944,354,452,3,40561.337960171106,3716.141944182321,8,PhD,Unemployed,Divorced,Male,26-40,Group C,0.057141750500879135,Reject
LP-10082,User 82,79557.88089483032,1000.0,466,153,9,1000.0,22281.631838784575,8,PhD,Employed,Divorced,Female,60+,Group D,0.11191551252815268,Reject
LP-10083,User 83,39634.59563452705,16867.0220605428,611,28,12,18188.550522283324,21210.859640313516,0,PhD,Employed,Married,Male,26-40,Group C,0.053786447675295355,Reject
LP-10084,User 84,33830.12794213625,9243.998032020465,480,214,1,18674.97744017477,20419.414052571494,0,High School,Self-Employed,Divorced,Male,26-40,Group D,0.06243710491414743,Reject
LP-10085,User 85,39964.85912830927,24919.132072573157,550,458,2,21285.140581955326,20369.233127441665,2,PhD,Unemployed,Married,Female,41-60,Group D,0.033941105152715215,Reject
LP-10086,User 86,68308.04235404148,9366.260400121657,797,120,9,28098.749564537262,10225.283593802613,8,PhD,Employed,Single,Female,60+,Group C,0.2514169983863107,Reject
LP-10087,User 87,56575.02219319369,6719.702579573832,523,215,8,51859.16187501598,992.8138142554035,1,Bachelor,Self-Employed,Single,Female,41-60,Group D,0.09377988638180064,Reject
LP-10088,User 88,39404.79592465922,18606.705139915655,559,470,9,21468.574234922948,16207.45027185518,0,Master,Employed,Married,Female,41-60,Group D,0.05551590381915973,Reject
LP-10089,User 89,60265.34866226712,27135.039501889667,709,6,12,29219.91991671882,3854.5273890490334,6,PhD,Self-Employed,Married,Male,26-40,Group A,0.09290890222727127,Reject
LP-10090,User 90,51941.55098696081,25679.37894927511,796,127,6,1000.0,6577.677534759988,9,Bachelor,Unemployed,Divorced,Male,26-40,Group C,0.13594271965938753,Reject
LP-10091,User 91,69372.89981065778,27992.680990231187,347,453,2,30039.733190399365,0.0,5,Master,Self-Employed,Single,Male,41-60,Group A,0.05725045922126813,Reject
LP-10092,User 92,35958.93812245295,28084.590222459774,502,279,9,28901.395389898633,12456.265849088206,0,Bachelor,Unemployed,Married,Male,41-60,Group B,0.018561226437402815,Reject
LP-10093,User 93,43446.75706804464,31326.707079575768,365,470,10,40648.04277465225,8210.41729287433,6,Master,Self-Employed,Married,Female,41-60,Group C,0.011601685946422089,Reject
LP-10094,User 94,42157.83693735685,16806.25240892623,788,86,6,57097.4367326721,22472.04453779129,1,PhD,Employed,Married,Male,60+,Group C,0.141528037155622,Reject
LP-10095,User 95,20729.701037357627,10553.706119185568,675,243,4,11790.997241826757,11678.176696150193,1,High School,Employed,Single,Female,41-60,Group A,0.04327859105330078,Reject
LP-10096,User 96,55922.40554129152,6744.98387548768,661,183,6,40758.77084638016,11572.467304083366,5,Master,Self-Employed,Divorced,Male,26-40,Group A,0.23166513927410595,Reject
LP-10097,User 97,55221.105443597786,26946.901864241543,340,157,4,58350.95999732852,12123.280225835704,6,High School,Self-Employed,Married,Female,41-60,Group D,0.012441363269462697,Reject
LP-10098,User 98,50102.269132849215,13274.839159605921,342,6,5,37595.4453302076,9228.541848951663,6,High School,Employed,Divorced,Female,41-60,Group B,0.01676218514929057,Reject
LP-10099,User 99,45308.25733249706,5901.125584726589,388,347,2,56221.27637980794,5291.146874284063,6,High School,Self-Employed,Divorced,Male,41-60,Group B,0.09126935187536246,Reject
LP-10100,User 100,21692.585158991715,20226.184687001416,698,234,2,22623.001580139113,13676.660425013759,7,Bachelor,Self-Employed,Single,Male,60+,Group B,0.022649985633551244,Reject
LP-10101,User 101,41587.09354469282,1000.0,686,258,9,41964.9634971371,2817.5724936814286,9,Bachelor,Unemployed,Married,Female,26-40,Group B,0.21292939128176153,Reject
LP-10102,User 102,43145.70966946461,4199.337292532338,669,62,13,18798.378511434585,5702.160955703581,9,Master,Employed,Married,Male,26-40,Group A,0.18289773074952734,Reject
LP-10103,User 103,33954.45461556762,17173.224544046167,655,246,4,31214.92776357147,839.1788065176661,4,PhD,Unemployed,Single,Male,18-25,Group D,0.02888813600398194,Reject
LP-10104,User 104,46774.285766679815,23820.26994835648,360,80,5,49511.95853569114,10823.593471570584,5,PhD,Self-Employed,Divorced,Male,18-25,Group A,0.006025542001093425,Reject
LP-10105,User 105,58081.01713629077,11690.739267330453,341,458,2,29537.196582113345,2662.439471014238,5,Master,Unemployed,Single,Female,26-40,Group D,0.054784524179241026,Reject
LP-10106,User 106,87723.7180242106,12674.935345682217,327,460,9,31838.45919438609,4205.285288399701,4,PhD,Self-Employed,Divorced,Female,18-25,Group C,0.032811337387266,Reject
LP-10107,User 107,53491.55625663678,22866.426737054222,480,141,3,48902.02163672834,4779.7040069096,7,Master,Unemployed,Married,Female,18-25,Group A,0.010071134412640324,Reject
LP-10108,User 108,55151.00781445529,23290.34109534723,749,62,8,34703.548618605906,9484.354950399424,0,High School,Employed,Married,Male,18-25,Group A,0.049678920769757245,Reject
LP-10109,User 109,48511.081684676654,1000.0,475,184,6,56021.176057381745,2847.82925032169,3,PhD,Self-Employed,Single,Female,18-25,Group A,0.03353416727214504,Reject
LP-10110,User 110,15000.0,29831.300809600754,485,259,7,52211.510915171995,7569.06475291885,3,Master,Employed,Married,Male,18-25,Group B,0.00012787571129311716,Reject
LP-10111,User 111,49469.722491015666,11728.984601079852,340,34,2,14747.764503662771,16632.970815635683,3,Master,Self-Employed,Divorced,Other,60+,Group C,0.030864056245566485,Reject
LP-10112,User 112,51204.604198820525,7534.495041238069,699,227,12,46738.489311680765,22534.244406263664,4,Master,Unemployed,Married,Female,26-40,Group C,0.1729802799543335,Reject
LP-10113,User 113,99264.84224970572,10316.062824556331,365,61,1,29192.88130625121,0.0,4,Master,Employed,Divorced,Female,26-40,Group B,0.058642382805922835,Reject
LP-10114,User 114,46152.78070437755,1353.6138513389815,360,383,12,31781.11900032907,14743.275897544529,2,Bachelor,Self-Employed,Divorced,Female,26-40,Group D,0.07295770846329161,Reject
LP-10115,User 115,56030.94684667225,40471.40880197716,680,200,8,39483.040463326615,15518.938313386236,1,High School,Employed,Divorced,Female,41-60,Group C,0.03299410532609202,Reject
LP-10116,User 116,49305.764605895136,1948.0624805330008,551,436,1,30747.358592127122,12030.21586506548,9,Master,Unemployed,Divorced,Male,18-25,Group C,0.11654264022549637,Reject
LP-10117,User 117,26626.43924760936,1000.0,401,354,9,38457.472803450095,13383.203106157725,4,PhD,Employed,Single,Male,26-40,Group B,0.10260643512991971,Reject
LP-10118,User 118,72856.45629030041,12383.988639488538,436,105,13,42329.13947643073,14382.674891783929,9,Bachelor,Self-Employed,Married,Female,26-40,Group D,0.053903887252827805,Reject
LP-10119,User 119,65038.66065373548,1201.3912828321663,621,322,14,46594.00365172072,6607.385751796263,1,Bachelor,Unemployed,Divorced,Female,41-60,Group C,0.23473487334235557,Reject
LP-10120,User 120,65820.63894086094,16220.169160561218,711,349,4,54352.628912405766,9948.175357623006,0,High School,Self-Employed,Divorced,Male,41-60,Group C,0.2939085390493496,Reject
LP-10121,User 121,31812.25090410522,31417.201970959177,441,130,3,1000.0,20222.720380663275,2,High School,Employed,Divorced,Male,41-60,Group A,0.005299279064990995,Reject
LP-10122,User 122,78055.88621872198,16652.096558561538,485,227,11,43870.11932326722,0.0,3,Master,Employed,Married,Other,41-60,Group D,0.1247643450761966,Reject
LP-10123,User 123,21962.97874415438,18388.318325072298,714,58,7,32377.75070480174,8033.703387045238,8,High School,Self-Employed,Single,Female,26-40,Group A,0.013825268728011987,Reject
LP-10124,User 124,61737.14187600541,12090.424582177258,367,42,4,61510.37171485163,17002.919526305366,9,PhD,Unemployed,Single,Female,41-60,Group B,0.028412369793479567,Reject
LP-10125,User 125,93809.11251619957,4590.047688439345,827,270,2,43004.460783893745,16962.366501973152,1,High School,Self-Employed,Divorced,Female,18-25,Group C,0.2560092710909295,Reject
LP-10126,User 126,30189.27349738623,12076.943918703957,641,373,7,29950.60963233329,8481.33028718755,2,Bachelor,Unemployed,Divorced,Male,26-40,Group C,0.11462985914807938,Reject
LP-10127,User 127,38674.04540794456,25546.124051608505,808,274,10,18574.874423845835,17008.1737054925,8,Master,Unemployed,Married,Female,26-40,Group B,0.06633661964340398,Reject
LP-10128,User 128,51993.02730175282,28575.17191096102,825,56,6,42690.30771513587,24826.551821796784,1,High School,Unemployed,Married,Female,41-60,Group A,0.07406556168936648,Reject
LP-10129,User 129,39930.48691767602,15416.111638568182,746,73,11,50825.536271731326,0.0,5,PhD,Unemployed,Divorced,Male,26-40,Group B,0.11749343695604189,Reject
LP-10130,User 130,18986.731378677345,23774.979520061293,550,436,13,48053.44775172003,7623.445991199667,5,Master,Self-Employed,Married,Male,26-40,Group D,0.006482418295880976,Reject
LP-10131,User 131,51371.25949612055,7252.070142504505,571,435,14,33023.3189801948,13733.788909185954,0,High School,Self-Employed,Single,Male,60+,Group A,0.22903900849325354,Reject
LP-10132,User 132,28753.925725477904,8847.97305895339,507,115,12,40195.05487774891,0.0,4,PhD,Unemployed,Single,Male,41-60,Group A,0.049612456202631605,Reject
LP-10133,User 133,59471.84861270363,1000.0,700,207,9,16906.369155789576,12884.909456467143,9,High School,Self-Employed,Single,Male,26-40,Group B,0.35173666631686734,Reject
LP-10134,User 134,31611.515315323937,26091.284342974443,459,103,4,44788.299295835226,17197.519230735496,1,PhD,Self-Employed,Married,Male,41-60,Group D,0.008817180676249575,Reject
LP-10135,User 135,80998.68810035079,9240.167369457426,347,30,14,58253.64885326843,12416.082397830745,4,Master,Unemployed,Married,Male,26-40,Group C,0.06447631415592034,Reject
LP-10136,User 136,34334.93415327526,1720.2265190662765,561,227,13,23057.096480074462,2453.0039095877864,9,High School,Unemployed,Divorced,Male,26-40,Group A,0.16446586381736297,Reject
LP-10137,User 137,43558.76967588649,20014.543976130746,714,282,7,42156.19111872517,9901.885457586957,1,High School,Unemployed,Single,Male,18-25,Group A,0.05174744495768919,Reject
LP-10138,User 138,66270.3443473934,28433.62035389681,649,52,1,6098.783344944772,16212.981440687965,2,Bachelor,Employed,Married,Male,26-40,Group A,0.08871151735151793,Reject
LP-10139,User 139,25382.713671320897,11288.319690175947,661,263,8,18802.3577803526,5461.248833380411,8,High School,Unemployed,Single,Female,60+,Group B,0.05360200955901434,Reject
LP-10140,User 140,54549.19869208259,1000.0,320,184,7,10384.585911778526,19551.156482133476,9,Bachelor,Unemployed,Single,Female,18-25,Group B,0.01778962395234113,Reject
LP-10141,User 141,76142.85508564857,11760.95432925703,734,429,6,36947.45139227871,4806.59281810279,5,PhD,Employed,Single,Female,26-40,Group B,0.33141430876562655,Reject
LP-10142,User 142,17850.335308775448,17390.684803678625,367,456,11,35398.41392151736,0.0,4,High School,Self-Employed,Single,Female,41-60,Group D,0.003944477829818355,Reject
LP-10143,User 143,53692.677170646086,20953.941843005003,380,173,9,15077.450398104424,0.0,1,Bachelor,Employed,Single,Other,26-40,Group A,0.03299630145575644,Reject
LP-10144,User 144,55197.65588496847,22767.539497978636,741,311,13,46151.75098598172,1247.7681816096738,1,Bachelor,Self-Employed,Married,Male,26-40,Group C,0.19153428215028476,Reject
LP-10145,User 145,65636.45743554621,15759.326300386881,690,72,6,1000.0,14736.551808078344,8,PhD,Employed,Single,Female,26-40,Group A,0.11551509068457094,Reject
LP-10146,User 146,25260.98578243836,12413.258306322317,731,467,9,26623.49844870101,12462.552101641344,4,PhD,Self-Employed,Divorced,Male,26-40,Group A,0.14702185472545623,Reject
LP-10147,User 147,23590.867738314475,21856.64468654038,710,292,13,53314.08660670364,8453.898573134205,7,PhD,Unemployed,Single,Female,18-25,Group D,0.006388401135438931,Reject
LP-10148,User 148,60438.83131233795,1768.6309576120857,496,390,5,37856.37629489361,18098.57191847983,9,Bachelor,Self-Employed,Single,Male,26-40,Group A,0.2286577481209762,Reject
LP-10149,User 149,55939.693464663724,5311.9976189052195,725,255,14,23043.001307346058,0.0,3,Bachelor,Self-Employed,Single,Female,26-40,Group C,0.23674888691026852,Reject
LP-10150,User 150,55009.85700691753,7728.304765172441,705,20,4,31768.95906316668,7698.608503393614,1,PhD,Unemployed,Single,Male,18-25,Group C,0.08301754623083109,Reject
LP-10151,User 151,56928.964189939514,10581.764716724385,720,193,4,30183.129637509992,19446.29449601996,9,Master,Self-Employed,Divorced,Female,26-40,Group A,0.17020660444814803,Reject
LP-10152,User 152,36399.505568430184,1170.9361106230044,325,3,12,8127.883267007979,15897.820010656396,6,PhD,Unemployed,Single,Male,41-60,Group D,0.04212599658186578,Reject
LP-10153,User 153,54645.07394322007,24721.53648525568,667,209,3,26066.891964688963,6806.305705504028,3,High School,Self-Employed,Single,Other,60+,Group C,0.10647874995845656,Reject
LP-10154,User 154,55861.44946597362,2878.743973184075,409,193,3,29995.77700000224,20498.611380185568,8,Master,Employed,Divorced,Male,18-25,Group A,0.040797777314794524,Reject
LP-10155,User 155,35712.97163947264,1000.0,550,267,7,38258.326138449054,10074.55286924179,1,Bachelor,Employed,Divorced,Female,26-40,Group C,0.11805676389457323,Reject
LP-10156,User 156,87315.49022289514,24865.502967148597,413,126,6,6288.007803939763,7670.5906374432725,0,High School,Self-Employed,Divorced,Male,26-40,Group A,0.06910510603604436,Reject
LP-10157,User 157,59476.65841823575,20155.42085449054,334,421,12,46584.87941880506,9831.72558013226,9,Bachelor,Self-Employed,Married,Female,60+,Group A,0.03376212010093417,Reject
LP-10158,User 158,26173.93005594703,14393.54896922359,837,54,8,52239.721535488774,12655.861043590008,2,Bachelor,Employed,Single,Female,60+,Group A,0.05817590956255445,Reject
